#Province id 0 is ignored; hard coded.;;;;;;;;;;;;;;;;;;;;;;
0;0;0;0;;x;;;;;;;;;;;;;;;;;;
1;99;241;15;prov1;x;;;;;;;;;;;;;;;;;;
2;158;239;15;prov2;x;;;;;;;;;;;;;;;;;;
3;0;225;255;prov3;x;;;;;;;;;;;;;;;;;;
4;178;210;47;prov4;x;;;;;;;;;;;;;;;;;;
5;135;210;79;prov5;x;;;;;;;;;;;;;;;;;;
6;51;210;63;prov6;x;;;;;;;;;;;;;;;;;;
7;8;210;95;prov7;x;;;;;;;;;;;;;;;;;;
8;127;207;159;prov8;x;;;;;;;;;;;;;;;;;;
9;43;207;143;prov9;x;;;;;;;;;;;;;;;;;;
10;0;207;175;prov10;x;;;;;;;;;;;;;;;;;;
11;169;204;207;prov11;x;;;;;;;;;;;;;;;;;;
12;168;204;47;prov12;x;;;;;;;;;;;;;;;;;;
13;129;204;159;prov13;x;;;;;;;;;;;;;;;;;;
14;86;204;191;prov14;x;;;;;;;;;;;;;;;;;;
15;85;204;31;prov15;x;;;;;;;;;;;;;;;;;;
16;45;204;143;prov16;x;;;;;;;;;;;;;;;;;;
17;2;204;175;prov17;x;;;;;;;;;;;;;;;;;;
18;1;204;15;prov18;x;;;;;;;;;;;;;;;;;;
19;171;201;207;prov19;x;;;;;;;;;;;;;;;;;;
20;170;201;47;prov20;x;;;;;;;;;;;;;;;;;;
21;131;201;159;prov21;x;;;;;;;;;;;;;;;;;;
22;127;201;79;prov22;x;;;;;;;;;;;;;;;;;;
23;88;201;191;prov23;x;;;;;;;;;;;;;;;;;;
24;87;201;31;prov24;x;;;;;;;;;;;;;;;;;;
25;48;201;143;prov25;x;;;;;;;;;;;;;;;;;;
26;45;201;223;prov26;x;;;;;;;;;;;;;;;;;;
27;44;201;63;prov27;x;;;;;;;;;;;;;;;;;;
28;4;201;175;prov28;x;;;;;;;;;;;;;;;;;;
29;3;201;15;prov29;x;;;;;;;;;;;;;;;;;;
30;173;198;207;prov30;x;;;;;;;;;;;;;;;;;;
31;172;198;47;prov31;x;;;;;;;;;;;;;;;;;;
32;133;198;159;prov32;x;;;;;;;;;;;;;;;;;;
33;129;198;79;prov33;x;;;;;;;;;;;;;;;;;;
34;90;198;191;prov34;x;;;;;;;;;;;;;;;;;;
35;89;198;31;prov35;x;;;;;;;;;;;;;;;;;;
36;50;198;143;prov36;x;;;;;;;;;;;;;;;;;;
37;47;198;223;prov37;x;;;;;;;;;;;;;;;;;;
38;46;198;63;prov38;x;;;;;;;;;;;;;;;;;;
39;7;198;175;prov39;x;;;;;;;;;;;;;;;;;;
40;6;198;15;prov40;x;;;;;;;;;;;;;;;;;;
41;3;198;95;prov41;x;;;;;;;;;;;;;;;;;;
42;176;195;207;prov42;x;;;;;;;;;;;;;;;;;;
43;175;195;47;prov43;x;;;;;;;;;;;;;;;;;;
44;135;195;159;prov44;x;;;;;;;;;;;;;;;;;;
45;131;195;79;prov45;x;;;;;;;;;;;;;;;;;;
46;92;195;191;prov46;x;;;;;;;;;;;;;;;;;;
47;91;195;31;prov47;x;;;;;;;;;;;;;;;;;;
48;52;195;143;prov48;x;;;;;;;;;;;;;;;;;;
