0;0;0;0;;x
1;99;241;15;landprov1;x
2;158;239;15;landprov2;x
3;0;225;255;landprov3;x
4;178;210;47;landprov4;x
5;135;210;79;landprov5;x
6;51;210;63;landprov6;x
7;8;210;95;landprov7;x
8;127;207;159;landprov8;x
9;43;207;143;landprov9;x
10;0;207;175;landprov10;x
11;169;204;207;landprov11;x
12;168;204;47;landprov12;x
13;129;204;159;landprov13;x
14;86;204;191;landprov14;x
15;85;204;31;landprov15;x
16;45;204;143;landprov16;x
17;2;204;175;landprov17;x
18;1;204;15;landprov18;x
19;171;201;207;landprov19;x
20;170;201;47;landprov20;x
21;131;201;159;landprov21;x
22;127;201;79;landprov22;x
23;88;201;191;landprov23;x
24;87;201;31;landprov24;x
25;48;201;143;landprov25;x
26;45;201;223;landprov26;x
27;44;201;63;landprov27;x
28;4;201;175;landprov28;x
29;3;201;15;landprov29;x
30;173;198;207;landprov30;x
31;172;198;47;landprov31;x
32;133;198;159;landprov32;x
33;129;198;79;landprov33;x
34;90;198;191;landprov34;x
35;89;198;31;landprov35;x
36;50;198;143;landprov36;x
37;47;198;223;landprov37;x
38;46;198;63;landprov38;x
39;7;198;175;landprov39;x
40;6;198;15;landprov40;x
41;3;198;95;landprov41;x
42;176;195;207;landprov42;x
43;175;195;47;landprov43;x
44;135;195;159;landprov44;x
45;131;195;79;landprov45;x
46;92;195;191;landprov46;x
47;91;195;31;landprov47;x
48;52;195;143;landprov48;x
49;49;195;223;landprov49;x
50;48;195;63;landprov50;x
51;9;195;175;landprov51;x
52;8;195;15;landprov52;x
53;5;195;95;landprov53;x
54;178;192;207;landprov54;x
55;177;192;47;landprov55;x
56;134;192;79;landprov56;x
57;93;192;31;landprov57;x
58;51;192;223;landprov58;x
59;50;192;63;landprov59;x
60;10;192;15;landprov60;x
61;7;192;95;landprov61;x
62;234;190;15;landprov62;x
63;136;189;79;landprov63;x
64;126;189;159;landprov64;x
65;42;189;143;landprov65;x
66;9;189;95;landprov66;x
67;168;186;207;landprov67;x
68;128;186;159;landprov68;x
69;85;186;191;landprov69;x
70;84;186;31;landprov70;x
71;44;186;143;landprov71;x
72;1;186;175;landprov72;x
73;0;186;15;landprov73;x
74;170;183;207;landprov74;x
75;169;183;47;landprov75;x
76;130;183;159;landprov76;x
77;126;183;79;landprov77;x
78;87;183;191;landprov78;x
79;86;183;31;landprov79;x
80;47;183;143;landprov80;x
81;44;183;223;landprov81;x
82;43;183;63;landprov82;x
83;3;183;175;landprov83;x
84;172;180;207;landprov84;x
85;171;180;47;landprov85;x
86;132;180;159;landprov86;x
87;128;180;79;landprov87;x
88;89;180;191;landprov88;x
89;88;180;31;landprov89;x
90;49;180;143;landprov90;x
91;46;180;223;landprov91;x
92;45;180;63;landprov92;x
93;6;180;175;landprov93;x
94;5;180;15;landprov94;x
95;2;180;95;landprov95;x
96;175;177;207;landprov96;x
97;174;177;47;landprov97;x
98;134;177;159;landprov98;x
99;130;177;79;landprov99;x
100;91;177;191;landprov100;x
101;90;177;31;landprov101;x
102;51;177;143;landprov102;x
103;48;177;223;landprov103;x
104;47;177;63;landprov104;x
105;8;177;175;landprov105;x
106;7;177;15;landprov106;x
107;4;177;95;landprov107;x
108;177;174;207;landprov108;x
109;176;174;47;landprov109;x
110;133;174;79;landprov110;x
111;93;174;191;landprov111;x
112;92;174;31;landprov112;x
113;50;174;223;landprov113;x
114;49;174;63;landprov114;x
115;10;174;175;landprov115;x
116;9;174;15;landprov116;x
117;6;174;95;landprov117;x
118;178;171;47;landprov118;x
119;135;171;79;landprov119;x
120;51;171;63;landprov120;x
121;8;171;95;landprov121;x
122;127;168;159;landprov122;x
123;84;168;191;landprov123;x
124;43;168;143;landprov124;x
125;0;168;175;landprov125;x
126;169;165;207;landprov126;x
127;168;165;47;landprov127;x
128;129;165;159;landprov128;x
129;85;165;31;landprov129;x
130;46;165;143;landprov130;x
131;43;165;223;landprov131;x
132;42;165;63;landprov132;x
133;2;165;175;landprov133;x
134;1;165;15;landprov134;x
135;171;162;207;landprov135;x
136;170;162;47;landprov136;x
137;131;162;159;landprov137;x
138;127;162;79;landprov138;x
139;88;162;191;landprov139;x
140;87;162;31;landprov140;x
141;48;162;143;landprov141;x
142;45;162;223;landprov142;x
143;44;162;63;landprov143;x
144;5;162;175;landprov144;x
145;1;162;95;landprov145;x
146;174;159;207;landprov146;x
147;173;159;47;landprov147;x
148;133;159;159;landprov148;x
149;129;159;79;landprov149;x
150;90;159;191;landprov150;x
151;89;159;31;landprov151;x
152;50;159;143;landprov152;x
153;47;159;223;landprov153;x
154;46;159;63;landprov154;x
155;7;159;175;landprov155;x
156;6;159;15;landprov156;x
157;3;159;95;landprov157;x
158;195;158;127;landprov158;x
159;176;156;207;landprov159;x
160;175;156;47;landprov160;x
161;136;156;159;landprov161;x
162;132;156;79;landprov162;x
163;92;156;191;landprov163;x
164;91;156;31;landprov164;x
165;49;156;223;landprov165;x
166;48;156;63;landprov166;x
167;9;156;175;landprov167;x
168;8;156;15;landprov168;x
169;5;156;95;landprov169;x
170;177;153;47;landprov170;x
171;134;153;79;landprov171;x
172;94;153;31;landprov172;x
173;51;153;223;landprov173;x
174;50;153;63;landprov174;x
175;7;153;95;landprov175;x
176;42;150;143;landprov176;x
177;9;150;95;landprov177;x
178;168;147;207;landprov178;x
179;128;147;159;landprov179;x
180;85;147;191;landprov180;x
181;84;147;31;landprov181;x
182;45;147;143;landprov182;x
183;1;147;175;landprov183;x
184;0;147;15;landprov184;x
